,tweets
23,"['belgiancokelat', 'in', datetime.datetime(2019, 11, 11, 11, 20, 50), 3, 'RT @podcast712: Sudah ramai nih di Terowongan Kendal, ini merupakan suasana terkini di lokasi tersebut. \nAcara ini merupakan acara rutin dr…', 'Johor Bahru, Johor']"
24,"['kadangidup', 'in', datetime.datetime(2019, 11, 11, 11, 17, 14), 3, 'RT @podcast712: Sudah ramai nih di Terowongan Kendal, ini merupakan suasana terkini di lokasi tersebut. \nAcara ini merupakan acara rutin dr…', 'Makassar, Indonesia']"
25,"['podcast712', 'in', datetime.datetime(2019, 11, 11, 11, 16, 59), 3, 'Sudah ramai nih di Terowongan Kendal, ini merupakan suasana terkini di lokasi tersebut. \nAcara ini merupakan acara rutin dr @gen987fm bekerja sama dengan @mrtjakarta https://t.co/hQUXEMpUlb', '']"
26,"['kadangidup', 'in', datetime.datetime(2019, 11, 11, 11, 16, 24), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Makassar, Indonesia']"
27,"['walian76', 'in', datetime.datetime(2019, 11, 11, 9, 48, 31), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', '']"
28,"['SNT80s', 'in', datetime.datetime(2019, 11, 11, 9, 36, 15), 0, '@mrtjakarta @JKT48 Buka anggaran DKI', 'Jakarta']"
29,"['awie_albetawie', 'in', datetime.datetime(2019, 11, 11, 9, 33, 24), 225, 'RT @PT_TransJakarta: Sahabat TiJe, rute 6R: Ragunan - St, MRT Fatmawati sudah mulai beroperasi melayani pelanggan hari ini. Jadi pelanggan…', 'di mana-mana']"
30,"['PT_TransJakarta', 'in', datetime.datetime(2019, 11, 11, 9, 5, 37), 0, '@awie_albetawie @mrtjakarta Pada pemberhentian Lebak Bulus dekat dengan Stasiun MRT Lebak Bulus. Terima kasih -th.', 'Jakarta']"
31,"['awie_albetawie', 'in', datetime.datetime(2019, 11, 11, 9, 1, 24), 0, '@PT_TransJakarta @mrtjakarta Ini sampe DAMRI LEBAK BULUS gak yaa...', 'di mana-mana']"
32,"['fiidyatama', 'in', datetime.datetime(2019, 11, 11, 8, 12, 13), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jekardah']"
33,"['ningrum_aj', 'in', datetime.datetime(2019, 11, 11, 7, 58, 39), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'earth']"
34,"['glennmars', 'in', datetime.datetime(2019, 11, 11, 7, 47, 15), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'ÜT: -6.217663,106.837651']"
35,"['yayauw', 'in', datetime.datetime(2019, 11, 11, 7, 12, 1), 0, '@mrtjakarta apakah bisa dipertimbangkan untuk menambah satu stop-an lagi sebelum bis tije masuk jalur terminal Blok M yang dekat dengan jalan kecil Taman Martha Tiahahu menuju stasiun MRT Blok M? Thanks', 'Jakarta, Indonesia']"
36,"['Junaidi__I', 'in', datetime.datetime(2019, 11, 11, 7, 3, 15), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'di sini 💓']"
37,"['rendi_alhial', 'in', datetime.datetime(2019, 11, 11, 5, 38, 46), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta - Depok - Bekasi']"
38,"['Akifahhh', 'in', datetime.datetime(2019, 11, 11, 5, 25, 47), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
39,"['ADF____', 'in', datetime.datetime(2019, 11, 11, 5, 23, 32), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '日本 東京']"
40,"['thecocopost', 'in', datetime.datetime(2019, 11, 11, 5, 5, 54), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Kota Malang']"
41,"['thecocopost', 'in', datetime.datetime(2019, 11, 11, 5, 5, 26), 1, 'RT @mrtjakarta: Saat ini lampu di Stasiun Istora Mandiri sudah kembali normal, terima kasih atas kepercayaan anda menggunakan MRT Jakarta.…', 'Kota Malang']"
42,"['thecocopost', 'in', datetime.datetime(2019, 11, 11, 5, 5, 8), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', 'Kota Malang']"
43,"['bobduatiga', 'in', datetime.datetime(2019, 11, 11, 4, 56, 13), 0, 'mau dibangun apaan nih? billboard? kalau sampai bikin billboard mah kebangetan... @mrtjakarta @aniesbaswedan @dprddkijakarta https://t.co/nDs3GvjX89', '']"
44,"['thecocopost', 'in', datetime.datetime(2019, 11, 11, 4, 52, 37), 3, 'RT @mrtjakarta: Saat ini lampu di Stasiun Setiabudi sudah kembali normal, terima kasih atas kepercayaan anda menggunakan MRT Jakarta.\n\n#MRT…', 'Kota Malang']"
45,"['hasanjun', 'in', datetime.datetime(2019, 11, 11, 4, 33, 4), 0, '@okkiardianto @mrtjakarta @rfsyrf @JKT48 wkwkwk... enggak, jam segitu pasti rame di sana', 'Jakarta Capital Region, Indone']"
46,"['dwinovaseptiani', 'in', datetime.datetime(2019, 11, 11, 4, 27, 44), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', 'Tangerang Selatan']"
47,"['overdoseriz', 'in', datetime.datetime(2019, 11, 11, 4, 0, 33), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Somewhere Only We Knows']"
48,"['Aahmadfahmii', 'in', datetime.datetime(2019, 11, 11, 3, 48, 32), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'jakarta']"
49,"['RyanBakkaru', 'in', datetime.datetime(2019, 11, 11, 3, 31, 51), 3, 'RT @mrtjakarta: Saat ini lampu di Stasiun Setiabudi sudah kembali normal, terima kasih atas kepercayaan anda menggunakan MRT Jakarta.\n\n#MRT…', 'Bekas Ibukota Jakarta']"
50,"['RyanBakkaru', 'in', datetime.datetime(2019, 11, 11, 3, 31, 5), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', 'Bekas Ibukota Jakarta']"
51,"['uchyea', 'in', datetime.datetime(2019, 11, 11, 3, 19, 29), 0, 'BELANJA? @TOKOPEDIA SAJA! @mrtjakarta\n#TokopediaxBTS\n#TokopediaSaja\nhttps://t.co/raiDwrLSBn https://t.co/quJCQyqPmx', 'Indonesia']"
52,"['okkiardianto', 'in', datetime.datetime(2019, 11, 11, 3, 16, 57), 0, '@mrtjakarta @rfsyrf @JKT48 Moso pakde @hasanjun gak hadir iki 😀😛', 'Trenggalek - Bandung - Jakarta']"
53,"['lendrifa', 'in', datetime.datetime(2019, 11, 11, 3, 12, 36), 3, 'RT @mrtjakarta: Saat ini lampu di Stasiun Setiabudi sudah kembali normal, terima kasih atas kepercayaan anda menggunakan MRT Jakarta.\n\n#MRT…', 'ÜT: -6.2169043,106.8228386']"
54,"['rfsyrf', 'in', datetime.datetime(2019, 11, 11, 3, 7, 11), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
55,"['andianpratama17', 'in', datetime.datetime(2019, 11, 11, 3, 5, 37), 0, '@mrtjakarta Sama2 min', 'Karbela, Setiabudi, JakSel.']"
56,"['Setiadi', 'in', datetime.datetime(2019, 11, 11, 2, 53, 11), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', 'Bandung - Indonesia ']"
57,"['niwadesu', 'in', datetime.datetime(2019, 11, 11, 2, 48, 16), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '+6 221b ベイカー city']"
58,"['webeku', 'in', datetime.datetime(2019, 11, 11, 2, 32, 7), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'Jakarta Capital Region']"
59,"['Caramelowfat', 'in', datetime.datetime(2019, 11, 11, 2, 30, 32), 0, '@mrtjakarta Sering banget mati kenapa ya? Stasiun istora dan senayan. Kamis lalu tanggal 7 november jam 9 malam juga mati padahal penumpang sedang banyak banyaknya yang masuk ke stasiun ingin menggunakan mrt', '']"
60,"['binbinbinar', 'in', datetime.datetime(2019, 11, 11, 2, 29, 55), 2, 'RT @meilia_w: @mrtjakarta @JKT48 @RailinkARS Sebenarnya terowongan kendal itu jalur melintas orang atau panggung gembira, sih. Ada2 saja ac…', 'Indonesia']"
61,"['RempeyekUdang', 'in', datetime.datetime(2019, 11, 11, 2, 29, 33), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', '+62291, +6221']"
62,"['irwan_cib', 'in', datetime.datetime(2019, 11, 11, 2, 28, 10), 6, 'RT @mrtjakarta: Mohon maaf atas ketidaknyamananya, terjadi gangguan operasional yang menyebabkan lampu di Stasiun Istora Mandiri dan Setiab…', 'Bekasi, Jawa Barat']"
63,"['IndraNyonya', 'in', datetime.datetime(2019, 11, 11, 2, 19, 1), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
64,"['boringbreaker', 'in', datetime.datetime(2019, 11, 11, 1, 41, 46), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', 'DKI Jakarta, Indonesia']"
65,"['ferdy666', 'in', datetime.datetime(2019, 11, 11, 1, 39, 22), 36, 'RT @mrtjakarta: Halo teman MRT, ada pengumuman nih! Hari Senin, 11 November 2019 bakal ada @jkt48.\n_\nPengen nonton kan? Makanya, langsung a…', '']"
